model,metric,point,ci_lo,ci_hi,se
OLS,RMSE,2397.9096490765387,1548.4641317614291,3198.1752417727653,418.5377495718682
OLS,MAE,1500.1496246765132,1152.4545479329802,1907.8437203525955,197.6734614931666
OLS,R2,-0.021605910415233742,-1.0318258595502545,0.10435920233553461,0.4517104347444958
Ridge,RMSE,2425.2501442653647,1294.5541209422668,3401.1027396152235,533.1199064036194
Ridge,MAE,1219.1700296781366,835.0316633088752,1683.0960763283779,221.2187667135665
Ridge,R2,-0.04503502050289443,-0.4415789949729417,0.00958333690604549,0.16457513510425112
Lasso,RMSE,2501.0125785856753,1615.0421162979123,3354.9711251592666,442.2319237914995
Lasso,MAE,1537.3069309837626,1174.8812567288846,1958.7965778479843,207.79173533490794
Lasso,R2,-0.11134658223976235,-1.2143258573311186,0.017866704606418326,0.4683319148020428
ElasticNet,RMSE,2443.1844735439295,1247.3069885901232,3449.960282214487,556.471205750534
ElasticNet,MAE,1161.4559098190257,772.4700942362987,1647.4905926669637,227.11647047282645
ElasticNet,R2,-0.060547893873490466,-0.3527273722831861,-0.010222994595761498,0.120250864519121
RandomForest,RMSE,3478.822823422982,2465.846837890146,4329.9229894224845,473.8746258390348
RandomForest,MAE,1846.7236623532187,1242.6268279189148,2477.4888987690383,316.6206664532052
RandomForest,R2,-1.1502174777556893,-9.646752524837611,0.11767650495904423,3.3138003214452834
XGBoost,RMSE,2546.9326647730027,1972.5056839400095,3068.7400752955623,284.7010573008634
XGBoost,MAE,1671.714848329023,1298.7887151353393,2092.7722665313913,205.21829518213883
XGBoost,R2,-0.15253120536221254,-3.738309330229882,0.35662717762065105,1.4049244336860705
LightGBM,RMSE,2401.774545132717,1708.5610400832313,3105.232657638163,351.89051125707084
LightGBM,MAE,1520.5231779966211,1166.7932646124207,1948.138040664322,197.86537480897402
LightGBM,R2,-0.024901766559516147,-1.9216348437189992,0.29738908964937716,0.8331164933440454
MLP,RMSE,2357.7006431658033,1286.8843009752882,3290.9330876944505,528.1310955997543
MLP,MAE,1166.8491738476625,795.0807650257243,1629.1386496263383,215.58787053410828
MLP,R2,0.012368142645880487,-0.3438022715152078,0.08967662555999031,0.1307127906391082
HierarchicalRF,RMSE,3562.6915689801417,2598.7248767662386,4384.345040632926,455.0978209740295
HierarchicalRF,MAE,1919.3072308781855,1312.855725460661,2542.171936704113,320.46279083268183
HierarchicalRF,R2,-1.2551436874301642,-10.350964615087273,0.04293326907149106,3.490838745969261
