model,train_rmse,test_rmse,train_r2,test_r2,test_mae,test_mape,n_train,n_test,best_params
OLS,3618.881629128162,2397.9096490765387,0.11565264297992672,-0.021605910415233742,1500.1496246765132,379.3906865703837,230,92,{}
Ridge,3703.56838654406,2425.2501442653647,0.07377848891054928,-0.04503502050289443,1219.1700296781366,235.7716757737319,230,92,{'alpha': 100.0}
Lasso,3657.19991365358,2501.0125785856753,0.0968257895383493,-0.11134658223976235,1537.3069309837626,362.30111807312284,230,92,{'alpha': 10.0}
ElasticNet,3724.535236980763,2443.1844735439295,0.06326164865577377,-0.060547893873490466,1161.4559098190257,207.4615245174938,230,92,"{'alpha': 1.0, 'l1_ratio': 0.25}"
RandomForest,1797.9745813129794,3478.822823422982,0.7817062901247648,-1.1502174777556893,1846.7236623532187,705.1052328263055,230,92,"{'n_estimators': 300, 'max_depth': 5, 'min_samples_leaf': 2}"
XGBoost,2485.300777068746,2546.9326647730027,0.5829078293700154,-0.15253120536221254,1671.714848329023,701.4447338600409,230,92,"{'n_estimators': 100, 'max_depth': 3, 'learning_rate': 0.01, 'subsample': 0.8}"
LightGBM,2907.8601728023896,2401.774545132717,0.42901964684363336,-0.024901766559516147,1520.5231779966211,574.3530219276238,230,92,"{'n_estimators': 100, 'max_depth': 5, 'learning_rate': 0.01, 'num_leaves': 31}"
MLP,3718.501423731338,2357.7006431658033,0.06629425576596748,0.012368142645880487,1166.8491738476625,327.9397450499613,230,92,{}
SectorMeanBaseline,3787.0566104080044,2423.0693341122446,0.03154884650593481,-0.043156452778339904,1626.1792202248828,486.1288864112794,230,92,{}
LastValueBaseline,1709.547350725139,872.487490606679,0.8026503343118092,0.8647503393388495,325.40590730798016,32.40416788861213,230,92,{}
HierarchicalRF,2100.9138203351413,3562.6915689801417,0.7019489869014155,-1.2551436874301642,1919.3072308781855,739.0662379796066,230,92,"{'k_shrink': 100, 'min_sector_n': 30}"
