check,model,n_train,n_test,rmse,r2,mae
Baseline,Ridge,230,92,2365.780369907583,0.005587410121702385,1460.6456085499522
Baseline,RF,230,92,3494.8921735071704,-1.1701278909635349,1849.8261676753684
Winsorize 5%,Ridge,230,92,1424.2000404888054,-0.03097560818805567,829.1673578488991
Winsorize 5%,RF,230,92,1654.1704614822793,-0.39080718501249834,1060.0110167376356
Log target,Ridge,230,92,1.2286423787636669,0.10190236205733749,0.920600443577596
Log target,RF,230,92,1.285649823407744,0.016627722050850946,0.9054253009692298
Sector: Mining,Ridge,70,28,1267.9468812263237,-0.7921898056614121,987.2706995218284
Sector: Mining,RF,70,28,1174.5707491578517,-0.537943020381898,831.1467983947557
Sector: Utilities,Ridge,130,52,3181.8130293247627,-0.13227766575416977,2491.757866170455
Sector: Utilities,RF,130,52,4575.104059622892,-1.3410224685029246,2630.8111347087033
Leave-one-firm-out,Ridge,322,23,,-481.20757228158703,
No IMR (ablation),Ridge,230,92,2362.4319194710333,0.008400338073903169,1440.6145376081208
No IMR (ablation),RF,230,92,3479.1391642316494,-1.1506085482394321,1848.1979450570911
Logit vs Probit selection (predicted-prob correlation),Logit/Probit,11200,11200,,0.9629142716788986,
Identification strength: 2-digit NAICS (broad) — pseudo-R2 (no FE / with sector FE),Probit,11200,11200,,0.3514035583636036,0.4180761146775448
Identification strength: 2-digit NAICS (broad) — flag p-value (no FE / with sector FE),Probit,11200,11200,,0.9974164212596094,0.9999916773508187
Identification strength: 6-digit NAICS (fine) — pseudo-R2 (no FE / with sector FE),Probit,11200,11200,,0.4684999659633434,0.6283088197468012
Identification strength: 6-digit NAICS (fine) — flag p-value (no FE / with sector FE),Probit,11200,11200,,0.9996559926739463,0.9999999999999993
